City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Tabou,CI,2021-11-08 05:42:15,4.423,-7.3528,77.43,89,96,3.36
107,Puerto Ayora,EC,2021-11-08 05:37:43,-0.7393,-90.3518,68.85,83,30,8.19
108,Naze,JP,2021-11-08 05:41:39,28.3667,129.4833,74.32,69,100,5.66
109,Manosque,FR,2021-11-08 05:42:16,43.8288,5.7869,48.76,68,46,6.8
110,Vanimo,PG,2021-11-08 05:42:16,-2.6741,141.3028,86.09,67,40,10.65
111,Faanui,PF,2021-11-08 05:42:16,-16.4833,-151.75,79.23,75,21,11.68
112,Hobart,AU,2021-11-08 05:39:41,-42.8794,147.3294,68.02,45,40,1.99
113,Londiani,KE,2021-11-08 05:42:17,-0.165,35.5909,61.36,73,95,4.79
114,Sitka,US,2021-11-08 05:42:17,57.0531,-135.33,44.49,53,1,12.66
115,Beringovskiy,RU,2021-11-08 05:39:48,63.05,179.3167,13.66,95,55,5.39
116,Mataura,NZ,2021-11-08 05:42:17,-46.1927,168.8643,63.37,64,100,3.06
117,Port Hardy,CA,2021-11-08 05:42:18,50.6996,-127.4199,41.0,100,75,4.61
118,Surt,LY,2021-11-08 05:42:18,31.2089,16.5887,70.68,37,100,13.2
119,Moranbah,AU,2021-11-08 05:42:18,-22.0016,148.0466,88.11,44,66,4.81
120,Vagur,FO,2021-11-08 05:42:19,61.4732,-6.8119,46.18,82,100,28.32
121,Tiksi,RU,2021-11-08 05:41:37,71.6872,128.8694,14.41,78,100,25.01
122,Roma,US,2021-11-08 05:38:04,43.2128,-75.4557,43.88,86,1,0.0
123,Port Alfred,ZA,2021-11-08 05:42:19,-33.5906,26.891,63.28,91,100,7.65
124,Carnarvon,AU,2021-11-08 05:39:10,-24.8667,113.6333,75.27,46,40,19.57
125,Cappelle-La-Grande,FR,2021-11-08 05:42:19,50.9998,2.3585,48.97,81,97,3.0
126,Taltal,CL,2021-11-08 05:42:20,-25.4,-70.4833,60.17,78,0,0.65
127,Port Moresby,PG,2021-11-08 05:42:20,-9.4431,147.1797,89.02,62,20,17.27
128,Wanparti,IN,2021-11-08 05:42:20,16.3667,78.0667,80.53,43,85,10.16
129,Terrace,CA,2021-11-08 05:42:21,54.5163,-128.6035,37.42,100,90,3.44
130,Aracati,BR,2021-11-08 05:42:21,-4.5617,-37.7697,78.48,76,35,8.12
131,Milevsko,CZ,2021-11-08 05:42:21,49.4509,14.36,41.13,78,75,9.48
132,Riyadh,SA,2021-11-08 05:40:12,24.6877,46.7219,66.34,21,30,4.03
133,Rio Gallegos,AR,2021-11-08 05:42:22,-51.6226,-69.2181,41.05,60,0,12.66
134,Richards Bay,ZA,2021-11-08 05:42:22,-28.783,32.0377,74.39,82,100,6.38
135,Concepcion,CL,2021-11-08 05:37:34,-36.827,-73.0498,53.4,87,0,8.05
136,Cockburn Town,TC,2021-11-08 05:40:10,21.4612,-71.1419,81.32,72,61,2.89
137,Aklavik,CA,2021-11-08 05:43:23,68.2191,-135.0107,18.32,96,94,6.42
138,Bongandanga,CD,2021-11-08 05:43:23,1.5,21.05,72.68,92,97,1.19
139,Cozumel,MX,2021-11-08 05:43:23,20.5083,-86.9458,75.94,63,0,10.33
140,Nykoping,SE,2021-11-08 05:43:24,58.753,17.0079,35.44,86,90,13.8
141,Xuddur,SO,2021-11-08 05:43:24,4.1213,43.8894,81.61,56,82,12.77
142,Bilibino,RU,2021-11-08 05:43:24,68.0546,166.4372,-6.57,100,64,4.52
143,Lompoc,US,2021-11-08 05:43:24,34.6391,-120.4579,59.41,66,1,6.91
144,Wawa,NG,2021-11-08 05:43:25,9.9022,4.4192,74.46,53,84,3.42
145,Dunedin,NZ,2021-11-08 05:39:07,-45.8742,170.5036,59.41,79,72,6.96
146,Tokur,RU,2021-11-08 05:43:25,53.1333,132.9,16.97,59,5,1.19
147,Elban,RU,2021-11-08 05:43:26,50.1018,136.5094,28.67,50,93,2.57
148,Vila Velha,BR,2021-11-08 05:39:09,-20.3297,-40.2925,70.95,88,90,2.3
149,Salvador,SV,2021-11-08 05:43:26,13.8333,-88.9167,72.0,86,80,3.78
150,Graben-Neudorf,DE,2021-11-08 05:43:26,49.167,8.4924,43.61,94,63,3.49
151,Scarborough,GB,2021-11-08 05:41:41,54.2797,-0.4044,41.9,87,89,1.01
152,Ilulissat,GL,2021-11-08 05:43:27,69.2167,-51.1,12.22,44,3,14.97
153,Aberdeen,GB,2021-11-08 05:38:36,57.1437,-2.0981,45.21,82,85,4.61
154,Tebingtinggi,ID,2021-11-08 05:43:27,3.3285,99.1625,89.65,64,100,0.69
